nct_id,country
NCT00004418,United States
NCT00004431,United States
NCT00004433,
NCT00004442,
NCT00004446,United States
NCT00004450,
NCT00004451,United States
NCT00004454,United States
NCT00004478,United States
NCT00004479,United States
NCT00004480,United States
NCT00004488,United States
NCT00004488,Israel
NCT00004498,
NCT00004554,United States
NCT00004576,United States
NCT00004637,United States
NCT00004646,
NCT00004647,
NCT00004652,
NCT00004682,
NCT00004685,
NCT00004686,
NCT00004727,United States
NCT00004728,United States
NCT00004730,United States
NCT00004731,United States
NCT00004733,United States
NCT00004734,United States
NCT00004744,
NCT00004758,
NCT00004759,
NCT00004770,
NCT00004771,
NCT00004772,
NCT00004776,
NCT00004796,
NCT00004802,
NCT00004807,
NCT00004814,
NCT00004816,
NCT00004817,
NCT00004826,
NCT00004833,
NCT00004834,
NCT00004845,United States
NCT00004939,
NCT00005015,
NCT00005571,United States
NCT00005574,United States
NCT00005658,United States
NCT00005674,United States
NCT00005766,United States
NCT00005812,United States
NCT00005850,United States
NCT00005850,Puerto Rico
NCT00005903,United States
NCT00005925,United States
NCT00006024,United States
NCT00006024,Australia
NCT00006024,Canada
NCT00006024,Netherlands
NCT00006024,New Zealand
NCT00006024,Puerto Rico
NCT00006024,Switzerland
NCT00006055,United States
NCT00006072,
NCT00006077,United States
NCT00006170,United States
NCT00006180,United States
NCT00006187,United States
NCT00006195,United States
NCT00006204,United States
NCT00006286,United States
NCT00006289,United States
NCT00006337,United States
NCT00006349,United States
NCT00006399,United States
NCT00006428,United States
NCT00006448,United States
NCT00006450,United States
NCT00006488,United States
NCT00006489,United States
NCT00007020,United States
NCT00007189,United States
NCT00007501,United States
NCT00007605,United States
NCT00007670,United States
NCT00007774,United States
NCT00009048,United States
NCT00009178,United States
NCT00009191,United States
NCT00009204,United States
NCT00009217,United States
NCT00009230,United States
NCT00009620,United States
NCT00009672,United States
NCT00010335,United States
NCT00010803,United States
NCT00010842,United States
NCT00010868,United States
NCT00010881,United States
NCT00010920,United States
NCT00011375,United States
NCT00011804,United States
NCT00012454,United States
NCT00012467,United States
NCT00012467,Peru
NCT00012558,United States
NCT00012584,United States
NCT00013182,United States
NCT00013585,United States
NCT00013624,United States
NCT00013650,United States
NCT00013923,United States
NCT00014001,United States
NCT00014755,United States
NCT00014989,United States
NCT00015028,United States
NCT00015041,United States
NCT00015054,United States
NCT00015067,United States
NCT00015080,United States
NCT00015106,United States
NCT00015132,United States
NCT00015171,United States
NCT00015210,United States
NCT00015223,United States
NCT00015249,United States
NCT00015301,United States
NCT00015340,United States
NCT00015548,United States
NCT00015769,United States
NCT00015808,United States
NCT00016653,United States
NCT00016679,United States
NCT00017628,United States
NCT00017940,United States
NCT00018057,United States
NCT00018109,United States
NCT00018174,United States
NCT00018200,United States
NCT00018278,United States
NCT00018291,United States
NCT00018343,United States
NCT00018356,United States
NCT00018382,United States
NCT00018564,United States
NCT00018603,United States
NCT00018642,United States
NCT00018668,United States
NCT00018733,United States
NCT00018759,United States
NCT00018824,United States
NCT00018850,United States
NCT00018902,United States
NCT00019630,United States
NCT00021528,United States
NCT00021541,United States
NCT00021541,Germany
NCT00021697,United States
NCT00021723,United States
NCT00022074,United States
NCT00023283,United States
NCT00023634,United States
NCT00024531,United States
NCT00025740,United States
NCT00025779,United States
NCT00025792,United States
NCT00025896,United States
NCT00026039,
NCT00026052,United States
NCT00026585,United States
NCT00026637,United States
NCT00026988,United States
NCT00027066,United States
NCT00027209,United States
NCT00027300,United States
NCT00027300,Belgium
NCT00027300,Canada
NCT00027300,Czech Republic
NCT00027300,France
NCT00027300,Germany
NCT00027300,Netherlands
NCT00027300,United Kingdom
NCT00027378,United States
NCT00027391,United States
NCT00027430,United States
NCT00027846,United States
NCT00027846,Australia
NCT00027846,Canada
NCT00027846,Netherlands
NCT00027846,New Zealand
NCT00027846,Switzerland
NCT00029146,United States
NCT00029315,United States
NCT00029458,United States
NCT00029497,United States
NCT00029523,United States
NCT00029523,Canada
NCT00029536,United States
NCT00029536,Canada
NCT00029614,United States
NCT00029874,United States
NCT00030147,United States
NCT00030264,United States
NCT00030966,United States
NCT00030966,Austria
NCT00030966,Belgium
NCT00030966,France
NCT00030966,Germany
NCT00030966,Israel
NCT00030966,Italy
NCT00030979,United States
NCT00031018,United States
NCT00031317,United States
NCT00031486,United States
NCT00031486,Canada
NCT00031486,Sweden
NCT00031486,United Kingdom
NCT00031590,United States
NCT00031798,United States
NCT00032695,United States
NCT00032734,Belgium
NCT00032734,France
NCT00032734,Germany
NCT00032734,Hungary
NCT00032916,United States
NCT00032929,United States
NCT00032955,United States
NCT00032968,United States
NCT00033033,United States
NCT00033046,United States
NCT00033059,United States
NCT00033072,United States
NCT00033085,United States
NCT00033098,United States
NCT00033111,United States
NCT00033189,United States
NCT00033813,United States
NCT00033891,United States
NCT00034021,United States
NCT00034229,United States
NCT00034242,United States
NCT00034580,United States
NCT00034697,
NCT00034710,United States
NCT00034749,
NCT00034762,
NCT00034775,
NCT00034788,
NCT00034801,United States
NCT00034814,
NCT00034892,United States
NCT00034892,Canada
NCT00034905,United States
NCT00035139,United States
NCT00035191,
NCT00035204,
NCT00035230,
NCT00035412,United States
NCT00035438,United States
NCT00035529,United States
NCT00035802,
NCT00035815,United States
NCT00035815,Puerto Rico
NCT00035958,United States
NCT00036088,United States
NCT00036088,Argentina
NCT00036088,Austria
NCT00036088,Brazil
NCT00036088,Germany
NCT00036088,Ireland
NCT00036088,Mexico
NCT00036088,Peru
NCT00036088,Puerto Rico
NCT00036088,Spain
NCT00036088,United Kingdom
NCT00036088,Venezuela
NCT00036101,United States
NCT00036114,United States
NCT00036127,United States
NCT00036205,United States
NCT00036205,Argentina
NCT00036205,Colombia
NCT00036205,Puerto Rico
NCT00036218,United States
NCT00036218,Argentina
NCT00036218,Mexico
NCT00036218,Puerto Rico
NCT00036296,
NCT00036309,United States
NCT00036335,United States
NCT00036348,United States
NCT00036361,United States
NCT00036413,United States
NCT00036582,United States
NCT00036881,
NCT00037102,
NCT00037115,United States
NCT00037479,United States
NCT00037674,
NCT00037830,United States
NCT00038389,United States
NCT00038441,United States
NCT00038896,
NCT00039832,United States
NCT00039832,Germany
NCT00039988,United States
NCT00040040,United States
NCT00040053,United States
NCT00040209,United States
NCT00040261,United States
NCT00040326,United States
NCT00040404,United States
NCT00040404,Canada
NCT00040404,Puerto Rico
NCT00040482,United States
NCT00040560,United States
NCT00040573,United States
NCT00041392,United States
NCT00041535,United States
NCT00041535,United Kingdom
NCT00041678,United States
NCT00041717,United States
NCT00041717,Canada
NCT00041795,United States
NCT00041938,United States
NCT00041938,Canada
NCT00042146,Canada
NCT00042172,United States
NCT00042224,United States
NCT00042237,United States
NCT00042367,United States
NCT00042380,United States
NCT00043264,United States
NCT00043550,United States
NCT00043589,United States
NCT00043654,United States
NCT00043849,United States
NCT00043875,United States
NCT00043875,Australia
NCT00043875,Estonia
NCT00043875,France
NCT00043875,Hungary
NCT00043875,Italy
NCT00043875,Latvia
NCT00043875,Lebanon
NCT00043875,Lithuania
NCT00043875,Netherlands
